0,8.48376e-23-nan,
1,3.79285e-21-nan,
2,1.17849e-20-nan,
3,1.87684e-20-nan,
4,2.28616e-20-nan,
5,2.44666e-20-nan,
6,2.45533e-20-nan,
7,2.46139e-20-nan,
8,2.47884e-20-nan,
9,2.42269e-20-nan,
10,2.23028e-20-nan,
11,1.80484e-20-nan,
12,1.22629e-20-nan,
13,7.20321e-21-nan,
14,5.48156e-21-nan,
15,6.97444e-21-nan,
16,1.01295e-20-nan,
17,1.33042e-20-nan,
18,1.62732e-20-nan,
19,1.85954e-20-nan,
20,2.00327e-20-nan,
21,2.12869e-20-nan,
22,2.28208e-20-nan,
23,2.49556e-20-nan,
24,2.65417e-20-nan,
25,2.57698e-20-nan,
26,2.23667e-20-nan,
27,1.75253e-20-nan,
28,1.444e-20-nan,
29,1.48355e-20-nan,
30,1.77758e-20-nan,
31,2.09412e-20-nan,
32,2.2265e-20-nan,
33,2.12451e-20-nan,
34,1.88756e-20-nan,
35,1.73355e-20-nan,
36,1.74479e-20-nan,
37,1.88099e-20-nan,
38,2.0356e-20-nan,
39,2.11973e-20-nan,
40,2.06539e-20-nan,
41,1.88641e-20-nan,
42,1.78761e-20-nan,
43,1.82298e-20-nan,
44,1.95904e-20-nan,
45,2.05213e-20-nan,
46,2.06444e-20-nan,
47,1.98332e-20-nan,
48,1.91235e-20-nan,
49,1.86746e-20-nan,
50,1.9628e-20-nan,
51,2.13933e-20-nan,
52,2.30323e-20-nan,
53,2.38285e-20-nan,
54,2.29909e-20-nan,
55,2.08852e-20-nan,
56,1.96395e-20-nan,
57,2.02724e-20-nan,
58,2.18141e-20-nan,
59,2.17416e-20-nan,
60,2.06633e-20-nan,
61,1.88624e-20-nan,
62,1.75339e-20-nan,
63,1.69747e-20-nan,
64,1.72883e-20-nan,
65,1.78833e-20-nan,
66,1.93512e-20-nan,
67,2.10876e-20-nan,
68,2.20457e-20-nan,
69,2.1496e-20-nan,
70,2.10791e-20-nan,
71,2.06344e-20-nan,
72,2.00804e-20-nan,
73,1.99524e-20-nan,
74,1.96026e-20-nan,
75,1.88365e-20-nan,
76,1.79622e-20-nan,
77,1.71907e-20-nan,
78,1.73677e-20-nan,
79,1.86172e-20-nan,
80,2.10148e-20-nan,
81,2.21761e-20-nan,
82,2.18655e-20-nan,
83,2.09041e-20-nan,
84,2.07993e-20-nan,
