# x, y, z, vx, vy, vz,
6.90328e-06,-6.11487e-05,1.67668e-05,1.18829,-0.0703643,-0.0224588,
1.50873e-06,4.92783e-05,0.0001344,-1.40819,-0.144619,-0.0289499,
1.21703e-05,3.12624e-05,2.55702e-05,-0.96252,-0.656475,-0.0932287,
3.73377e-05,4.25657e-05,4.01325e-05,-1.24459,-1.13282,0.0385427,
5.55325e-05,-3.19827e-05,5.64903e-05,1.07539,-1.69908,-0.115046,
-2.45866e-05,4.69907e-05,0.000131839,-1.1121,0.374249,-0.0619805,
-2.19877e-05,-2.57947e-05,1.41692e-05,0.851455,0.943227,-0.0193137,
2.35168e-05,2.15632e-05,-0.000165559,-0.452174,-0.653832,0.0214132,
-6.42352e-06,-3.37015e-05,5.51881e-05,0.695279,0.304214,0.0180921,
1.30581e-05,5.66579e-05,3.73398e-05,-1.61283,-0.134997,-0.117652,
5.89314e-05,-1.67164e-05,3.75973e-06,0.1072,-1.46359,0.0397225,
4.23555e-05,-4.02384e-05,0.00011144,0.95845,-1.1338,0.14605,
-6.47755e-06,5.81284e-05,-9.55288e-05,-1.40876,0.0564117,0.10447,
4.83336e-05,2.71928e-05,8.96313e-05,-0.633997,-1.04523,-0.0601427,
5.99906e-05,-1.51119e-05,7.74411e-05,0.0985004,-1.5725,0.0596631,
3.27652e-05,-4.05524e-05,0.000137067,1.06835,-0.549914,-0.00917576,
6.04127e-05,-7.4626e-06,5.05738e-05,0.112999,-1.70478,-0.0855339,
-3.43803e-05,-3.99913e-06,-0.000164091,0.15611,0.932578,0.028884,
-2.67065e-05,2.83262e-05,6.02826e-05,-0.604361,0.580246,0.103924,
-5.45762e-05,6.13858e-06,-0.000117121,-0.0752147,1.35613,-0.16559,
-1.43647e-06,-3.485e-05,-9.44712e-05,0.883936,-0.0447495,-0.129614,
3.02962e-05,4.7625e-05,1.43509e-05,-1.03559,-0.556869,-0.0203372,
-5.04274e-05,-2.27808e-05,-9.31165e-05,0.256064,1.27882,-0.0507125,
-3.68031e-05,2.92104e-05,0.000147812,-0.826721,0.711077,-0.0317931,
-2.16786e-05,5.82192e-05,8.07891e-05,-1.41983,0.786784,-0.00725142,
-2.62158e-06,3.51965e-05,6.91707e-05,-1.01539,-0.03051,-0.237617,
-1.87251e-05,-1.90871e-05,0.000118018,0.53764,0.0041203,0.0908193,
-2.63545e-05,-2.03712e-05,4.00759e-05,0.68042,0.777414,0.0724877,
2.29535e-06,3.20139e-05,9.47607e-05,-1.06298,-0.149854,0.0794234,
3.28926e-05,-1.97236e-05,0.00016517,0.432185,-0.838977,-0.0509813,
5.7731e-05,8.10351e-06,-7.54412e-05,-0.273277,-1.83472,0.0630576,
5.45252e-05,-1.99727e-05,0.000104558,0.375498,-1.82821,-0.139152,
-2.63818e-05,-1.27211e-05,9.30983e-05,0.272542,0.948612,0.0797332,
3.15937e-05,-1.94737e-05,6.78275e-05,0.716741,-0.864227,0.0485628,
-5.9522e-05,8.21859e-06,1.40806e-05,-0.0249714,1.48598,-0.0381693,
2.3391e-05,-1.51184e-05,0.000142951,0.319401,-0.395538,-0.00944366,
2.9375e-05,-5.61372e-05,-6.20918e-05,0.837635,-0.850797,-0.0456395,
-1.02238e-05,-5.84134e-05,6.74095e-05,1.19077,0.57705,-0.0485541,
